num_nodes is set 102
channel.cc:sendUp - Calc highestAntennaZ_ asdf and distCST_
highestAntennaZ_ = 1.5,  distCST_ = 550.0
N: 96 r:0.336545 q:8.479188 alpha:0.700000 t_rtt:18 t_rtt_min:12 srtt:0 avgwnd:46.635532 avgRtt:14.666667
N: 101 r:0.010500 q:0.000000 alpha:0.700000 t_rtt:106 t_rtt_min:106 srtt:848 avgwnd:1.500000 avgRtt:106.000000
N: 96 r:0.299034 q:12.611413 alpha:0.700000 t_rtt:16 t_rtt_min:16 srtt:0 avgwnd:41.437500 avgRtt:23.000000
N: 94 r:0.170334 q:4.623357 alpha:0.700000 t_rtt:2 t_rtt_min:2 srtt:0 avgwnd:23.116784 avgRtt:2.500000
N: 96 r:0.130991 q:16.395062 alpha:0.700000 t_rtt:29 t_rtt_min:1 srtt:0 avgwnd:18.151676 avgRtt:10.333333
N: 99 r:0.299751 q:27.608599 alpha:0.700000 t_rtt:16 t_rtt_min:9 srtt:337 avgwnd:42.821500 avgRtt:25.333333
N: 97 r:0.235287 q:18.091470 alpha:0.700000 t_rtt:115 t_rtt_min:29 srtt:441 avgwnd:32.940129 avgRtt:64.333333
N: 95 r:0.307848 q:7.676216 alpha:0.700000 t_rtt:18 t_rtt_min:12 srtt:0 avgwnd:42.219190 avgRtt:14.666667
N: 98 r:0.204209 q:18.620645 alpha:0.700000 t_rtt:16 t_rtt_min:9 srtt:337 avgwnd:28.881000 avgRtt:25.333333
N: 95 r:0.110489 q:13.775301 alpha:0.700000 t_rtt:16 t_rtt_min:1 srtt:0 avgwnd:15.152831 avgRtt:11.000000
N: 99 r:0.190615 q:8.634146 alpha:0.700000 t_rtt:14 t_rtt_min:14 srtt:203 avgwnd:27.230769 avgRtt:20.500000
N: 98 r:0.183461 q:22.338143 alpha:0.700000 t_rtt:35 t_rtt_min:7 srtt:709 avgwnd:25.946613 avgRtt:50.333333
N: 98 r:0.156861 q:7.034146 alpha:0.700000 t_rtt:14 t_rtt_min:14 srtt:203 avgwnd:22.184615 avgRtt:20.500000
N: 98 r:0.064226 q:3.355105 alpha:0.700000 t_rtt:70 t_rtt_min:70 srtt:1134 avgwnd:9.083333 avgRtt:111.000000
N: 97 r:0.366797 q:17.861437 alpha:0.700000 t_rtt:35 t_rtt_min:35 srtt:461 avgwnd:51.351631 avgRtt:53.666667
N: 102 r:0.012129 q:0.000000 alpha:0.700000 t_rtt:106 t_rtt_min:106 srtt:848 avgwnd:1.750000 avgRtt:106.000000
N: 97 r:0.167268 q:7.425087 alpha:0.700000 t_rtt:14 t_rtt_min:14 srtt:203 avgwnd:23.417582 avgRtt:20.500000
N: 99 r:0.259600 q:4.250518 alpha:0.700000 t_rtt:106 t_rtt_min:103 srtt:1054 avgwnd:37.085766 avgRtt:116.333333
N: 97 r:0.111047 q:10.023471 alpha:0.700000 t_rtt:16 t_rtt_min:9 srtt:337 avgwnd:15.546609 avgRtt:25.333333
N: 93 r:0.329816 q:43.437876 alpha:0.700000 t_rtt:190 t_rtt_min:1 srtt:897 avgwnd:44.289599 avgRtt:52.000000
N: 101 r:0.190615 q:0.000000 alpha:0.700000 t_rtt:18 t_rtt_min:18 srtt:144 avgwnd:27.230769 avgRtt:18.000000
N: 95 r:0.284804 q:11.887468 alpha:0.700000 t_rtt:16 t_rtt_min:16 srtt:0 avgwnd:39.058824 avgRtt:23.000000
N: 102 r:0.153755 q:0.000000 alpha:0.700000 t_rtt:18 t_rtt_min:18 srtt:144 avgwnd:22.184615 avgRtt:18.000000
N: 96 r:0.168993 q:7.425087 alpha:0.700000 t_rtt:14 t_rtt_min:14 srtt:0 avgwnd:23.417582 avgRtt:20.500000
N: 98 r:0.262223 q:4.250518 alpha:0.700000 t_rtt:106 t_rtt_min:103 srtt:1054 avgwnd:37.085766 avgRtt:116.333333
N: 98 r:0.215352 q:26.959497 alpha:0.700000 t_rtt:18 t_rtt_min:18 srtt:798 avgwnd:30.456945 avgRtt:156.750000
N: 103 r:0.162670 q:0.000000 alpha:0.700000 t_rtt:18 t_rtt_min:18 srtt:144 avgwnd:23.703297 avgRtt:18.000000
N: 92 r:0.333363 q:43.437876 alpha:0.700000 t_rtt:190 t_rtt_min:1 srtt:897 avgwnd:44.289599 avgRtt:52.000000
N: 97 r:0.185333 q:22.338143 alpha:0.700000 t_rtt:35 t_rtt_min:7 srtt:709 avgwnd:25.946613 avgRtt:50.333333
